"Date","Run","Bike","Swim","Weight","Notes"
"2/14/2022","2","0","0","146","0:20:28"
"2/17/2022","2","0","0","147","0:20:02"
"2/21/2022","2","0","0","146","0:19:27"
"3/3/2022","2.5","0","0","147","0:24:09"
"3/7/2022","3","0","0","146","0:29:08"
"3/9/2022","3","0","0","146","0:28:55"
"3/15/2022","3","0","0","145","0:28:22"
"3/23/2022","3","0","0","146","0:27:39"
"3/28/2022","3","0","0","146","0:27:00"
"4/1/2022","3","0","0","146","0:27:15"
"4/4/2022","3","0","0","147","0:27:20"
"4/7/2022","3","0","0","147","0:26:58"
"4/12/2022","3","0","0","145","0:26:10"
"4/20/2022","4","0","0","148","0:38:00"
"4/25/2022","4","0","0","147","0:35:52"
"4/28/2022","4","0","0","147","0:35:35"
"5/2/2022","4","0","0","145","0:39:20"
"5/6/2022","4","0","0","145","0:38:15"
"5/10/2022","4","0","0","145","0:37:18"
"5/13/2022","4","0","0","147","0:36:20"
"5/17/2022","3.25","0","0","145","0:31:20"
"5/19/2022","4.5","0","0","145","0:43:38"
"5/27/2022","5","0","0","146","0:46:15"
"6/2/2022","3","0","0","145","0:27:27"
"6/14/2022","4","0","0","146","0:38:47"
"6/17/2022","3","0","0","146","0:27:52"
"6/20/2022","3","0","0","147","0:27:10"
"6/22/2022","3","0","0","145","0:26:20"
"6/30/2022","4","0","0","145","0:38:05"
"7/5/2022","4","0","0","146","0:34:58"
"7/8/2022","3","0","0","146","0:26:30"
"7/12/2022","3","0","0","145","0:28:30"
"7/26/2022","3","0","0","145","0:27:57"
"7/29/2022","3","0","0","145","0:27:45"
"8/4/2022","3","0","0","145","0:27:27"
"8/9/2022","3","0","0","145","0:27:48"
"10/19/2022","1.5","0","0","140","0:15:30"
"10/25/2022","2","0","0","139","0:19:30"
"11/7/2022","2.25","0","0","139","0:21:38"
"11/10/2022","2.64","0","0","140","0:25:00"
"11/12/2022","3","0","0","139","0:27:34"
"11/14/2022","3","0","0","140","0:28:27"
"11/17/2022","3","0","0","139","0:26:36"
"11/21/2022","3","0","0","138","0:25:58"
"11/24/2022","3","0","0","138","0:26:06"
"11/27/2022","3","0","0","138","0:25:26"
"12/1/2022","2.25","0","0","138","0:20:00"
"12/5/2022","3","0","0","137","0:27:42"
"12/12/2022","3","0","0","136","0:26:28"
"12/15/2022","3","0","0","137","0:26:50"
"12/18/2022","2","0","0","136","0:20:00"
"12/18/2022","2","0","0","136","0:17:45"
"12/21/2022","4","0","0","136","0:36:36"
"12/24/2022","3","0","0","136","0:27:43"
"12/26/2022","3","0","0","134","0:27:57"
"12/28/2022","3","0","0","136","0:28:00"
"12/30/2022","3","0","0","137","0:27:34"
